Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,9,905,905,Northern America,0,2,-,-,2,0.00,0.00,0.00
N.A.,9,906,906,Eastern Asia,0,45,-,-,45,0.01,0.01,0.00
N.A.,9,910,910,Eastern Africa,0,14,-,-,14,0.01,0.01,0.00
N.A.,9,911,911,Middle Africa,0,24,-,-,24,0.03,0.02,0.00
N.A.,9,912,912,Northern Africa,0,36,-,-,36,0.04,0.03,0.00
N.A.,9,913,913,Southern Africa,0,2,-,-,2,0.01,0.01,0.00
N.A.,9,914,914,Western Africa,0,11,-,-,11,0.01,0.00,0.00
N.A.,9,915,915,Caribbean,0,1,-,-,1,0.01,0.01,0.00
N.A.,9,916,916,Central America,0,3,-,-,3,0.00,0.00,0.00
N.A.,9,920,920,South-Eastern Asia,0,9,-,-,9,0.00,0.00,0.00
N.A.,9,921,921,South Central Asia,0,127,-,-,127,0.02,0.02,0.00
N.A.,9,922,922,Western Asia,0,4,-,-,4,0.00,0.00,0.00
N.A.,9,923,923,Eastern Europe,0,3,-,-,3,0.00,0.00,0.00
N.A.,9,924,924,Northern Europe,0,0,-,-,0,0.00,0.00,0.00
N.A.,9,925,925,Southern Europe,0,0,-,-,0,0.00,0.00,0.00
N.A.,9,926,926,Western Europe,0,0,-,-,0,0.00,0.00,0.00
N.A.,9,927,927,Australia-New Zealand,0,0,-,-,0,0.00,0.00,0.00
N.A.,9,928,928,Melanesia,0,0,-,-,0,0.00,0.00,0.00
N.A.,9,931,931,South America,0,9,-,-,9,0.01,0.01,0.00
N.A.,9,954,954,Micronesia,0,0,-,-,0,0.00,0.00,0.00
N.A.,9,957,957,Polynesia,0,0,-,-,0,0.00,0.00,0.00
,,,,Total,,290,,,290,0.01,0.01,0.00
